Address,Bit Index,Type,ID,Type(2),Address(2),Bit(2)
151,6,,,,,
151,7,,,,,
152,0,,,,,
152,1,,,,,
152,2,,,,,
152,3,,,,,
152,4,,,,,
152,5,,,,,
152,6,,,,,
152,7,,,,,
153,0,,,,,
153,1,,,,,
153,2,,,,,
153,3,,,,,
153,4,,,,,
153,5,,,,,
153,6,,,,,
153,7,,,,,
154,0,,,,,
154,1,,,,,
154,2,,,,,
154,3,,,,,
154,4,,,,,
154,5,,,,,
154,6,,,,,
154,7,,,,,
155,0,,,,,
155,1,,,,,
155,2,,,,,
155,3,,,,,
155,4,,,,,
155,5,,,,,
155,6,,,,,
155,7,,,,,
156,0,,,,,
156,1,,,,,
156,2,,,,,
156,3,,,,,
156,4,,,,,
156,5,,,,,
156,6,,,,,
156,7,,,,,
157,0,,,,,
157,1,,,,,
157,2,,,,,
157,3,,,,,
157,4,,,,,
157,5,,,,,
157,6,,,,,
157,7,,,,,
158,0,,,,,
158,1,,,,,
158,2,,,,,
158,3,,,,,
158,4,,,,,
158,5,,,,,
158,6,,,,,
158,7,,,,,
159,0,,,,,
159,1,,,,,
159,2,,,,,
159,3,,,,,
159,4,,,,,
159,5,,,,,
159,6,,,,,
159,7,,,,,
160,0,,,,,
160,1,,,,,
160,2,,,,,
160,3,,,,,
160,4,,,,,
160,5,,,,,
160,6,,,,,
160,7,,,,,
161,0,,,,,
161,1,,,,,
161,2,,,,,
161,3,,,,,
161,4,,,,,
161,5,,,,,
161,6,,,,,
161,7,,,,,
162,0,,,,,
162,1,,,,,
162,2,,,,,
162,3,,,,,
162,4,,,,,
162,5,,,,,
162,6,,,,,
162,7,,,,,
163,0,,,,,
163,1,,,,,
163,2,,,,,
163,3,,,,,
163,4,,,,,
163,5,,,,,
163,6,,,,,
163,7,,,,,
164,0,,,,,
164,1,,,,,
164,2,,,,,
164,3,,,,,
164,4,,,,,
164,5,,,,,
164,6,,,,,
164,7,,,,,
165,0,,,,,
165,1,,,,,
165,2,,,,,
165,3,,,,,
165,4,,,,,
165,5,,,,,
165,6,,,,,
165,7,,,,,
166,0,,,,,
166,1,,,,,
166,2,,,,,
166,3,,,,,
166,4,,,,,
166,5,,,,,
166,6,,,,,
166,7,,,,,
167,0,,,,,
167,1,,,,,
167,2,,,,,
167,3,,,,,
167,4,,,,,
167,5,,,,,
167,6,,,,,
167,7,,,,,
168,0,,,,,
168,1,,,,,
168,2,,,,,
168,3,,,,,
168,4,,,,,
168,5,,,,,
168,6,,,,,
168,7,,,,,
169,0,,,,,
169,1,,,,,
169,2,,,,,
169,3,,,,,
169,4,,,,,
169,5,,,,,
169,6,,,,,
169,7,,,,,
170,0,,,,,
170,1,,,,,
170,2,,,,,
170,3,,,,,
170,4,,,,,
170,5,,,,,
170,6,,,,,
170,7,,,,,
171,0,,,,,
171,1,,,,,
171,2,,,,,
171,3,,,,,
171,4,,,,,
171,5,,,,,
171,6,,,,,
171,7,,,,,
172,0,,,,,
172,1,,,,,
172,2,,,,,
172,3,,,,,
172,4,,,,,
172,5,,,,,
172,6,,,,,
172,7,,,,,
173,0,,,,,
173,1,,,,,
173,2,,,,,
173,3,,,,,
173,4,,,,,
173,5,,,,,
173,6,,,,,
173,7,,,,,
174,0,,,,,
174,1,,,,,
174,2,,,,,
174,3,,,,,
174,4,,,,,
174,5,,,,,
174,6,,,,,
174,7,,,,,
175,0,,,,,
175,1,,,,,
175,2,,,,,
175,3,,,,,
175,4,,,,,
175,5,,,,,
175,6,,,,,
175,7,,,,,
176,0,,,,,
176,1,,,,,
176,2,,,,,
176,3,,,,,
176,4,,,,,
176,5,,,,,
176,6,,,,,
176,7,,,,,
177,0,,,,,
177,1,,,,,
177,2,,,,,
177,3,,,,,
177,4,,,,,
177,5,,,,,
177,6,,,,,
177,7,,,,,
178,0,,,,,
178,1,,,,,
178,2,,,,,
178,3,,,,,
178,4,,,,,
178,5,,,,,
178,6,,,,,
178,7,,,,,
179,0,,,,,
179,1,,,,,
179,2,,,,,
179,3,,,,,
179,4,,,,,
179,5,,,,,
179,6,,,,,
179,7,,,,,
180,0,,,,,
180,1,,,,,
180,2,,,,,
180,3,,,,,
180,4,,,,,
180,5,,,,,
180,6,,,,,
180,7,,,,,
181,0,,,,,
181,1,,,,,
181,2,,,,,
181,3,,,,,
181,4,,,,,
181,5,,,,,
181,6,,,,,
181,7,,,,,
182,0,,,,,
182,1,,,,,
182,2,,,,,
182,3,,,,,
182,4,,,,,
182,5,,,,,
182,6,,,,,
182,7,,,,,
183,0,,,,,
183,1,,,,,
183,2,,,,,
183,3,,,,,
183,4,,,,,
183,5,,,,,
183,6,,,,,
183,7,,,,,
184,0,,,,,
184,1,,,,,
184,2,,,,,
184,3,,,,,
184,4,,,,,
184,5,,,,,
184,6,,,,,
184,7,,,,,
185,0,,,,,
185,1,,,,,
185,2,,,,,
185,3,,,,,
185,4,,,,,
185,5,,,,,
185,6,,,,,
185,7,,,,,
186,0,,,,,
186,1,,,,,
186,2,,,,,
186,3,,,,,
186,4,,,,,
186,5,,,,,
186,6,,,,,
186,7,,,,,
187,0,,,,,
187,1,,,,,
187,2,,,,,
187,3,,,,,
187,4,,,,,
187,5,,,,,
187,6,,,,,
187,7,,,,,
188,0,,,,,
188,1,,,,,
188,2,,,,,
188,3,,,,,
188,4,,,,,
188,5,,,,,
188,6,,,,,
188,7,,,,,
189,0,,,,,
189,1,,,,,
189,2,,,,,
189,3,,,,,
189,4,,,,,
189,5,,,,,
189,6,,,,,
189,7,,,,,
190,0,,,,,
190,1,,,,,
190,2,,,,,
190,3,,,,,
190,4,,,,,
190,5,,,,,
190,6,,,,,
190,7,,,,,
191,0,,,,,
191,1,,,,,
191,2,,,,,
191,3,,,,,
191,4,,,,,
191,5,,,,,
191,6,,,,,
191,7,,,,,
192,0,,,,,
192,1,,,,,
192,2,,,,,
192,3,,,,,
192,4,,,,,
192,5,,,,,
192,6,,,,,
192,7,,,,,
193,0,,,,,
193,1,,,,,
193,2,,,,,
193,3,,,,,
193,4,,,,,
193,5,,,,,
193,6,,,,,
193,7,,,,,
194,0,,,,,
194,1,,,,,
194,2,,,,,
194,3,,,,,
194,4,,,,,
194,5,,,,,
194,6,,,,,
194,7,,,,,
195,0,,,,,
195,1,,,,,
195,2,,,,,
195,3,,,,,
195,4,,,,,
195,5,,,,,
195,6,,,,,
195,7,,,,,
196,0,,,,,
196,1,,,,,
196,2,,,,,
196,3,,,,,
196,4,,,,,
196,5,,,,,
196,6,,,,,
196,7,,,,,
197,0,,,,,
197,1,,,,,
197,2,,,,,
197,3,,,,,
197,4,,,,,
197,5,,,,,
197,6,,,,,
197,7,,,,,
198,0,,,,,
198,1,,,,,
198,2,,,,,
198,3,,,,,
198,4,,,,,
198,5,,,,,
198,6,,,,,
198,7,,,,,
199,0,,,,,
199,1,,,,,
199,2,,,,,
199,3,,,,,
199,4,,,,,
199,5,,,,,
199,6,,,,,
199,7,,,,,
200,0,,,,,
200,1,,,,,
200,2,,,,,
200,3,,,,,
200,4,,,,,
200,5,,,,,
200,6,,,,,
200,7,,,,,
